,Node Displacement,,,,,,, , Reactions,,,,,,, , Element Internal Forces,,,,,,
,Node, UX, UY, UZ, RX, RY, RZ, , Node, FX, FY, FZ, MX, MY, MZ, , Elem, Node, FX, FY, FZ, MX, MY, MZ
======================================================================================================================



,1,-3.9595130672566595e-05,-0.0029648073911556203,0.0,0.0,0.0,0.00018337096378697574,,1,0.0,0.0,0.0,0.0,0.0,0.0,,1,1,0.0,0.0,0.0,0.0,0.0,0.0
,2,-3.9595130672566595e-05,-0.002051277040305848,0.0,0.0,0.0,0.00018071138931889072,,2,0.0,0.0,0.0,0.0,0.0,0.0,,,2,0.0,99.99999999999272,0.0,0.0,0.0,-249.99999999999514
,3,-3.9595130672566595e-05,-0.0011842892426475635,0.0,0.0,0.0,0.00016209436804229526,,3,0.0,0.0,0.0,0.0,0.0,0.0,,2,2,0.0,100.00000000000728,0.0,0.0,0.0,-249.99999999999514
,4,-3.9595130672566595e-05,-0.00048352484924459683,0.0,0.0,0.0,0.00011156245314867864,,4,0.0,0.0,0.0,0.0,0.0,0.0,,,3,0.0,200.00000000000728,0.0,0.0,0.0,-999.9999999999878
,5,-3.9595130672566595e-05,-0.00014845194520333007,0.0,0.0,0.0,1.3158197829530193e-05,,5,0.0,0.0,0.0,0.0,0.0,0.0,,3,3,0.0,199.99999999999818,0.0,0.0,0.0,-999.9999999999842
,6,-3.2995942227138826e-05,-0.00017487902003746668,0.0,0.0,0.0,-1.6989497107343153e-05,,6,0.0,0.0,0.0,0.0,0.0,0.0,,,4,0.0,299.9999999999982,0.0,0.0,0.0,-2249.999999999984
,7,-2.639675378171106e-05,-0.0002642494820587702,0.0,0.0,0.0,-1.4678731513421693e-05,,7,0.0,0.0,0.0,0.0,0.0,0.0,,4,4,0.0,300.0,0.0,0.0,0.0,-2249.999999999984
,8,-1.9797565336283294e-05,-0.0002941646456345433,0.0,0.0,0.0,4.133047802783948e-06,,8,0.0,0.0,0.0,0.0,0.0,0.0,,,5,0.0,400.0,0.0,0.0,0.0,-3999.999999999984
,9,-1.3198376890855528e-05,-0.00022201305917464147,0.0,0.0,0.0,2.348839403276318e-05,,9,0.0,0.0,0.0,0.0,0.0,0.0,,5,5,620.3237138702102,-303.4063526596476,0.0,0.0,0.0,-1619.8103230044833
,10,-6.599188445427764e-06,-8.497050513147314e-05,0.0,0.0,0.0,2.7429860368005418e-05,,10,0.0,0.0,0.0,0.0,0.0,0.0,,,6,620.3237138702102,-203.4063526596476,0.0,0.0,0.0,-352.7785597062472
,11,0.0,0.0,0.0,0.0,0.0,0.0,,11,620.3237138702099,296.5936473403525,0.0,0.0,0.0,-1517.6197432150507,,6,6,620.3237138702102,-203.40635265964693,0.0,0.0,0.0,-352.7785597062454
,12,-8.122303678117754e-05,-0.00014096889889844022,0.0,0.0,0.0,-1.3311389159405142e-05,,12,0.0,0.0,0.0,0.0,0.0,0.0,,,7,620.3237138702102,-103.40635265964693,0.0,0.0,0.0,414.2532035919897
,13,-9.19588869372266e-05,-0.00013178946168206838,0.0,0.0,0.0,9.875197141316361e-06,,13,0.0,0.0,0.0,0.0,0.0,0.0,,7,7,620.3237138702098,-103.40635265964738,0.0,0.0,0.0,414.2532035919897
,14,-3.3635447041967855e-05,-5.355073441438875e-05,0.0,0.0,0.0,1.4312326861118032e-05,,14,0.0,0.0,0.0,0.0,0.0,0.0,,,8,620.3237138702098,-3.406352659647382,0.0,0.0,0.0,681.2849668902303
,15,0.0,0.0,0.0,0.0,0.0,0.0,,15,-620.3237138702111,703.406352659646,0.0,0.0,0.0,-524.8106894859745,,8,8,620.32371387021,-3.406352659649201,0.0,0.0,0.0,681.2849668902267
,,,,,,,,,,,,,,,,,,9,620.32371387021,96.5936473403508,0.0,0.0,0.0,448.3167301884708
,,,,,,,,,,,,,,,,,9,9,620.3237138702099,96.59364734035262,0.0,0.0,0.0,448.3167301884708
,,,,,,,,,,,,,,,,,,10,620.3237138702099,196.59364734035262,0.0,0.0,0.0,-284.6515065132914
,,,,,,,,,,,,,,,,,10,10,620.3237138702099,196.59364734035248,0.0,0.0,0.0,-284.651506513289
,,,,,,,,,,,,,,,,,,11,620.3237138702099,296.5936473403525,0.0,0.0,0.0,-1517.6197432150507
,,,,,,,,,,,,,,,,,11,5,-703.4063526596456,-620.3237138702104,0.0,0.0,0.0,-2380.1896769955
,,,,,,,,,,,,,,,,,,12,-703.4063526596456,-620.3237138702104,0.0,0.0,0.0,721.4288923555524
,,,,,,,,,,,,,,,,,12,12,-936.0185065037816,58.748297286882575,0.0,0.0,0.0,721.4288923555515
,,,,,,,,,,,,,,,,,,13,-936.0185065037816,58.748297286882575,0.0,0.0,0.0,306.0156984083712
,,,,,,,,,,,,,,,,,13,13,-936.0185065037824,58.748297286882064,0.0,0.0,0.0,306.0156984083713
,,,,,,,,,,,,,,,,,,14,-936.0185065037824,58.748297286882064,0.0,0.0,0.0,-109.39749553880073
,,,,,,,,,,,,,,,,,14,14,-936.0185065037816,58.74829728688189,0.0,0.0,0.0,-109.39749553880118
,,,,,,,,,,,,,,,,,,15,-936.0185065037816,58.74829728688189,0.0,0.0,0.0,-524.8106894859744
